Proof,Alcohol,Water,Gravity in Air,Gravity in Vacuum,Shrink
1,0.5,99.53,0.99925,0.99925,0.03
2,1,99.06,0.9985,0.9985,0.06
3,1.5,98.58,0.99776,0.99776,0.08
4,2,98.12,0.99703,0.99703,0.12
5,2.5,97.65,0.9963,0.9963,0.15
6,3,97.18,0.99559,0.99559,0.18
7,3.5,96.71,0.99487,0.99488,0.21
8,4,96.24,0.99418,0.99419,0.24
9,4.5,95.78,0.99349,0.9935,0.28
10,5,95.31,0.99281,0.99282,0.31
11,5.5,94.85,0.99214,0.99215,0.35
12,6,94.39,0.99149,0.9915,0.39
13,6.5,93.93,0.99084,0.99085,0.43
14,7,93.46,0.99021,0.99022,0.46
15,7.5,93.01,0.98959,0.9896,0.51
16,8,92.55,0.98898,0.98899,0.55
17,8.5,92.09,0.98837,0.98838,0.59
18,9,91.63,0.98778,0.98779,0.63
19,9.5,91.18,0.98719,0.9872,0.68
20,10,90.72,0.9866,0.98661,0.72
21,10.5,90.27,0.98601,0.98602,0.77
22,11,89.81,0.98543,0.98544,0.81
23,11.5,89.36,0.98485,0.98487,0.86
24,12,88.9,0.98428,0.9843,0.9
25,12.5,88.45,0.98372,0.98374,0.95
26,13,88,0.98317,0.98319,1
27,13.5,87.55,0.98262,0.98264,1.05
28,14,87.1,0.98208,0.9821,1.1
29,14.5,86.65,0.98155,0.98157,1.15
30,15,86.2,0.98102,0.98104,1.2
31,15.5,85.75,0.98049,0.98051,1.25
32,16,85.3,0.97996,0.97998,1.3
33,16.5,84.85,0.97944,0.97946,1.35
34,17,84.4,0.97893,0.97895,1.4
35,17.5,83.95,0.97842,0.97844,1.45
36,18,83.5,0.97792,0.97794,1.5
37,18.5,83.06,0.97742,0.97744,1.56
38,19,82.61,0.97692,0.97694,1.61
39,19.5,82.16,0.97643,0.97645,1.66
40,20,81.72,0.97594,0.97596,1.72
41,20.5,81.27,0.97544,0.97546,1.77
42,21,80.82,0.97492,0.97496,1.82
43,21.5,80.38,0.97442,0.97446,1.88
44,22,79.93,0.97391,0.97395,1.93
45,22.5,79.48,0.9734,0.97344,1.98
46,23,79.03,0.97289,0.97298,2.03
47,23.5,78.58,0.97237,0.97241,2.08
48,24,78.14,0.97185,0.97189,2.14
49,24.5,77.69,0.97133,0.97137,2.19
50,25,77.24,0.9708,0.97084,2.24
51,25.5,76.79,0.97027,0.97031,2.29
52,26,76.34,0.96974,0.96978,2.34
53,26.5,75.89,0.9692,0.96924,2.39
54,27,75.44,0.96866,0.9687,2.44
55,27.5,74.98,0.96811,0.96815,2.48
56,28,74.53,0.96756,0.9676,2.53
57,28.5,74.08,0.967,0.96704,2.58
58,29,73.62,0.96644,0.96648,2.62
59,29.5,73.17,0.96587,0.96591,2.67
60,30,72.72,0.9653,0.96534,2.72
61,30.5,72.26,0.96471,0.96476,2.76
62,31,71.81,0.96413,0.96418,2.81
63,31.5,71.35,0.96353,0.96358,2.85
64,32,70.89,0.96291,0.96296,2.89
65,32.5,70.43,0.96229,0.96234,2.93
66,33,69.97,0.96165,0.9617,2.97
